key,scientificName,phylum,class,decimalLatitude,decimalLongitude,eventDate,taxon_group
2838091080,"Taeniura lymma (Forsskål, 1775)",Chordata,Elasmobranchii,-23.095086,113.732615,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3444677081,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-22.61,113.63,2011-01-29,"Elasmobranchii (sharks & rays, class)"
3444760473,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-24,"Elasmobranchii (sharks & rays, class)"
3444760509,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-12,"Elasmobranchii (sharks & rays, class)"
3444760510,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-30,"Elasmobranchii (sharks & rays, class)"
3444760597,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-06,"Elasmobranchii (sharks & rays, class)"
3444760923,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-05,"Elasmobranchii (sharks & rays, class)"
3444760924,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-23,"Elasmobranchii (sharks & rays, class)"
3444760959,"Carcharhinus amblyrhynchos (Bleeker, 1856)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-04,"Elasmobranchii (sharks & rays, class)"
3444761115,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-15,"Elasmobranchii (sharks & rays, class)"
3444761165,"Triaenodon obesus (Rüppell, 1837)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-15,"Elasmobranchii (sharks & rays, class)"
3444761383,"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",Chordata,Elasmobranchii,-23.12,113.75,2011-01-08,"Elasmobranchii (sharks & rays, class)"
